phrase,prompt,Care
I can't stand up or sit down I have a pain in my back that annoys me,Back pain,PCP
"When I move on my shoulder, pain shoots down my arm",Shoulder pain,PCP
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain,PCP
i was travelling by ship and i feel dizzy.,Feeling dizzy,PCP
my hair isn't well,Hair falling out,Pharmacy
I have a pain in my stomach,Internal pain,PCP
I have a great stomach ache and i can't eat any thing,Stomach ache,PCP
My entire body is freezing.,Feeling cold,Pharmacy
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I feel a soreness in my knees when I walk,Joint pain,PCP
There is a sharp pain in my bicep,Muscle pain,PCP
i can hardly breathe,Hard to breath,Emergencey
I toppled over while jumping to catch the ball.,Injury from sports,Emergencey
When I wake up in the morning I feel a soreness in my body,Muscle pain,PCP
I get an ear ache when it is cold,Ear ache,PCP
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache,PCP
I feel great pain in the head,Head ache,PCP
I feel pain in my throat,Cough,PCP
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache,PCP
I have a hair shortage,Hair falling out,Pharmacy
I fell a stiffness in my elbows and shoulders,Joint pain,PCP
I'm suffering from sharp cough Accompanied by  phlegm,Cough,PCP
i have issue with my skin,Skin issue,Pharmacy
He was discovered to have an open wound.,Open wound,Emergencey
When I think of my parents I feel pain,Emotional pain,PCP
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold,Pharmacy
I feel a sharp pain in my ankle joint when I stand.,Joint pain,PCP
Sometimes I cough because I'm a smoker,Cough,PCP
My foot hurts me a lot of playing football,Foot ache,PCP
My hair is falling when I am combing it.,Hair falling out,Pharmacy
The pain in my ear is unbearable.,Ear ache,PCP
Chronic bowel Pain,Internal pain,PCP
"My stomach aches after I drink any soda drink, why?",Stomach ache,PCP
My knees ache on cold and rainy days.,Knee pain,PCP
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache,PCP
My skin is itching.,Skin issue,Pharmacy
I feel pain in my right shoulder after the tennis match.,Injury from sports,Emergencey
My shower drain is full of hair every time.,Hair falling out,Pharmacy
I have a pain in my stomach,Internal pain,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain,PCP
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne,Pharmacy
I felt my heart hurts when I ran for along distance,Heart hurts,Emergencey
I don't have full range of motion with my arms,Shoulder pain,PCP
My neck is annoying me I can't sleep bacause of it,Neck pain,PCP
"My stomach aches after I drink any soda drink, why?",Stomach ache,PCP
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,PCP
I have a hair shortage,Hair falling out,Pharmacy
I feel a pain in my neck,Neck pain,PCP
i feel pain in my back,Back pain,PCP
I think my body temperature is very low.,Feeling cold,Pharmacy
I have a pain in my joint,Joint pain,PCP
I can't get a girlfriend because of my acne.,Acne,Pharmacy
"When I go to stand, my head starts swirling",Feeling dizzy,PCP
I was kicked in the head playing soccer last night.,Injury from sports,Emergencey
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,PCP
I have pimples in patches along with a lot of redness on my face.,Acne,Pharmacy
I have acne in my face and other problema in my derma like itching,Skin issue,Pharmacy
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne,Pharmacy
I have blurry vision after I used a wrong medicine.,Blurry vision,PCP
I have terrible pain in my heart,Heart hurts,Emergencey
I get a knee pain when I walk a lot,Knee pain,PCP
i have injured myself during the soccer match,Injury from sports,Emergencey
My neck is annoying me I can't sleep bacause of it,Neck pain,PCP
My shoulder muscle hurts when I try to reach up.,Muscle pain,PCP
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision,PCP
I have a pain in my stomach,Internal pain,PCP
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain,PCP
I do not feel better in my muscles,Muscle pain,PCP
His infected wound was beginning to rot.,Infected wound,PCP
I used to have acne when I was 15 years old,Acne,Pharmacy
heavy breath with fatigue,Emotional pain,PCP
glass broken and wound my leg badly the wound is so wide,Open wound,Emergencey
i can't see well,Blurry vision,PCP
I have a throbbing in my joints,Joint pain,PCP
I hate my acne.,Acne,Pharmacy
My back got injured while i was lifting at the gym,Injury from sports,Emergencey
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain,PCP
I'm not feeling good I can't take my breath,Hard to breath,Emergencey
I had alot of exercise yesterday so i feel sharp muscle pains,Muscle pain,PCP
I cannot breathe because of this dull ache below my left shoulder.,Heart hurts,Emergencey
My knees swell right below the knee cap and hurt when I put weight on them.,Knee pain,PCP
when i was washing my hair it was falling out heavily,Hair falling out,Pharmacy
My muscles in my lower back are aching.,Muscle pain,PCP
I feel pain when parting loved ones,Emotional pain,PCP
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,Emergencey
I have throbing in my shoulder,Shoulder pain,PCP
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,PCP
fell skull is cracked like nuts,Head ache,PCP
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath,Emergencey
i have a pain in my elbow joint,Joint pain,PCP
The warming system of my house is broken and  feel so cold,Feeling cold,Pharmacy
I can`t stop coughing.,Cough,PCP
i have shoulder pain after doing any home work.,Shoulder pain,PCP
I have a lot of mucus when I cough.,Cough,PCP
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy,PCP
I have pain in my colon and my stomach like something cutting it,Stomach ache,PCP
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,PCP
Stomach pain after drinking milk,Stomach ache,PCP
When I walk it's hard to breath.,Hard to breath,Emergencey
When I play football I have joint pain.,Joint pain,PCP
my temperature dropped and my body get synosed,Feeling cold,Pharmacy
I feel so sore in my stomach area.,Stomach ache,PCP
When i get up i see my skin vague,Skin issue,Pharmacy
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough,PCP
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold,Pharmacy
I have pimples on my back.,Acne,Pharmacy
When I tried to take care if my hair I found that it is falling out,Hair falling out,Pharmacy
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound,Emergencey
I feel lightheaded,Feeling dizzy,PCP
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold,Pharmacy
I noticed an important decrease in my vision when I try to look at things up close.,Blurry vision,PCP
I'm not feeling good I get infection wound,Infected wound,PCP
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain,PCP
"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",Infected wound,PCP
My back hurts me and i can't bend it or walk,Back pain,PCP
I feel heart pain when I walk a lot,Heart hurts,Emergencey
My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.,Infected wound,PCP
I had an accident and my wound was open when I arrived to hospital,Open wound,Emergencey
i was watching tv and suddenly have blurry vision,Blurry vision,PCP
I feel muscle pain every time I make an extra effort.,Muscle pain,PCP
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain,PCP
I have a headache every time I eat ice cream,Head ache,PCP
itch at front and center of scalp,Hair falling out,Pharmacy
Every time I comb my hair there are so many hair in my comb.,Hair falling out,Pharmacy
"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",Injury from sports,Emergencey
i was watching tv and suddenly have blurry vision,Blurry vision,PCP
I have an open wound in my arm,Open wound,Emergencey
my back hurts me a lot,Back pain,PCP
"My body feels weak after my first day in the gym, why?",Body feels weak,PCP
When I play football I have joint pain.,Joint pain,PCP
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound,PCP
My kneecap feels like it is grating bone on bone when I walk.,Knee pain,PCP
I feel pain in my knee when I climb the stairs.,Joint pain,PCP
I feel pain when i think of her,Emotional pain,PCP
there is acne on my face,Acne,Pharmacy
"I have a foot ache in winter, or when it feels cold, why?",Foot ache,PCP
"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog.",Internal pain,PCP
I have a back pain since I fell on the floor.,Back pain,PCP
"It's hard to stand up, and I'm moving very slowly",Body feels weak,PCP
my neck hurts me and i can't look down or up,Neck pain,PCP
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound,PCP
I feel like the room is spinning,Feeling dizzy,PCP
I lose a lot of my hair,Hair falling out,Pharmacy
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,PCP
"i feel hurt, lot of pain in my heart",Emotional pain,PCP
I feel increased heart rate with prick,Heart hurts,Emergencey
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,PCP
when i wake up in the morning i feel dizzy,Feeling dizzy,PCP
My foot had been aching since last Tuesday.,Foot ache,PCP
"I couldn't stop shaking or unclench my jaw, that's how cold I was.",Feeling cold,Pharmacy
My kee is swallowing which indicates i have an infected wound,Infected wound,PCP
My lungs feel heavy like they are filled with mucus,Cough,PCP
I have pimples on my back.,Acne,Pharmacy
i have a migrain and i took panadol but it doesnƒ????t help,Head ache,PCP
I've always been very active but now I just don't have the strength or energy to go for even a short walk.,Body feels weak,PCP
My body aches on the inside between my hips and shoulders.,Internal pain,PCP
I feel like l fell in hot water,Skin issue,Pharmacy
I feel a great pain in my shoulder joint and it does not go away,Joint pain,PCP
Have severe cold and cough,Cough,PCP
i have a problem in my middle ear made by infection,Ear ache,PCP
When I stand I feel dizzy I do not know why,Feeling dizzy,PCP
My joints feel swollen,Joint pain,PCP
My neck has been sore since the accident.,Neck pain,PCP
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,PCP
I'm not feeling good I get infection wound,Infected wound,PCP
i'm injured i can't play sports,Injury from sports,Emergencey
I had a pain in my knee when I was swimming,Knee pain,PCP
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,Pharmacy
After an hard working day I have foot ache,Foot ache,PCP
I feel like I can hardly breathe unless I get what's in my lungs out,Cough,PCP
"Every time I make an effort, I felt dizzy.",Feeling dizzy,PCP
I feel aching on my insides.,Internal pain,PCP
my head hurts me badly,Head ache,PCP
Every time it rains I get hives on my belly and sides.,Skin issue,Pharmacy
My foot had been aching since last Tuesday.,Foot ache,PCP
i have a migrain and i took panadol but it doesnƒ????t help,Head ache,PCP
I have a headache almost every day,Head ache,PCP
When I was young I had an injury from sports in my knee.,Injury from sports,Emergencey
i feel dizzy after severe diarrhea,Feeling dizzy,PCP
Oh my heart hurts me I tried to be calm and I can't,Heart hurts,Emergencey
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,PCP
My arm hurts when I stretch,Muscle pain,PCP
I used to have acne when I was 15 years old,Acne,Pharmacy
I have an internal pain I cannot describe,Internal pain,PCP
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,PCP
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache,PCP
When I played football I dislocated my shoulder,Injury from sports,Emergencey
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I feel joint pain every time I move,Joint pain,PCP
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,PCP
I have a pain internal,Internal pain,PCP
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache,PCP
I cannot breathe because of this dull ache below my left shoulder.,Heart hurts,Emergencey
stiffness inability to look right or left except by moving the whole body,Neck pain,PCP
severe pain in the upper left side of chest and may have pain to back,Heart hurts,Emergencey
I had alot of exercise yesterday so i feel sharp muscle pains,Muscle pain,PCP
there is a red stain in my skin,Skin issue,Pharmacy
when i was washing my hair it was falling out heavily,Hair falling out,Pharmacy
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
I have this strange rash on my arm.,Skin issue,Pharmacy
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,Emergencey
My infected wound caused a fever,Infected wound,PCP
It feels like someone stuck a knife into my shoulder,Shoulder pain,PCP
When I carry heavy things i feel like breaking my back,Back pain,PCP
My knees swell right below the knee cap and hurt when I put weight on them.,Knee pain,PCP
my hand open wound got infected,Infected wound,PCP
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain,PCP
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache,PCP
I have a headache every time I eat ice cream,Head ache,PCP
I cannot get warm no matter how much I wrap up or how high I put the heating on,Feeling cold,Pharmacy
"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain,PCP
In the morning my respiration is loud.,Hard to breath,Emergencey
My shoulder hurts when I try to reach something above my head.,Shoulder pain,PCP
My sore isn't healing well and it's been like this for two weeks.,Open wound,Emergencey
My head hurts in the back and the pain lasts all day.,Head ache,PCP
My ear is ringing.,Ear ache,PCP
Is pimples a skin disease?,Acne,Pharmacy
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain,PCP
i can hardly breathe,Hard to breath,Emergencey
My head is spinning when I get up.,Feeling dizzy,PCP
cramps along the whole abdomen,Stomach ache,PCP
It hurts when I raise my arm up,Shoulder pain,PCP
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache,PCP
"My body feels weak after my first day in the gym, why?",Body feels weak,PCP
My sore looks like its not healing well.,Infected wound,PCP
I knocked my foot and it really hurts.,Foot ache,PCP
I feel dizzy whenever I stand up.,Feeling dizzy,PCP
Oh my heart hurts me I tried to be calm and I can't,Heart hurts,Emergencey
My biceps started aching after I went to the gym,Muscle pain,PCP
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision,PCP
I have difficulty in breathing in crowded places.,Hard to breath,Emergencey
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,PCP
"i was playing basketball yesterday, i have sprained ankle",Injury from sports,Emergencey
My head gets dizzy when I try to get up.,Feeling dizzy,PCP
there pain in my foot,Foot ache,PCP
I feel a sharp pain in my ankle joint when I stand.,Joint pain,PCP
i feel cold,Feeling cold,Pharmacy
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision,PCP
My knee catches and hurts when I first stand up after sitting.,Knee pain,PCP
Sometimes my body feels week without reason,Body feels weak,PCP
"My heart hurts while I'm sad, why?",Heart hurts,Emergencey
i have a hard pain in my stomach,Stomach ache,PCP
I have a headache almost every day,Head ache,PCP
Have severe cold and cough,Cough,PCP
I get big patches of irritated pimples on my back and they hurt.,Acne,Pharmacy
i feel sad,Emotional pain,PCP
My kee is swallowing which indicates i have an infected wound,Infected wound,PCP
Is there a cure for acne?,Acne,Pharmacy
having difficulty moving my knee,Knee pain,PCP
I feel cold when the night comes,Feeling cold,Pharmacy
My chest hurts when I go to take a breath,Hard to breath,Emergencey
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,PCP
i have a migrain and i took panadol but it doesnƒ????t help,Head ache,PCP
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
I've always been very active but now I just don't have the strength or energy to go for even a short walk.,Body feels weak,PCP
"i can't walk, my knee hurts me",Knee pain,PCP
i feel that is great pain in my left shoulder,Shoulder pain,PCP
My hair always falls out and i have lost a lot of hair lately,Hair falling out,Pharmacy
i have a problem in my middle ear made by infection,Ear ache,PCP
longitudinal burning line across back with hard respiratory movements,Back pain,PCP
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath,Emergencey
i have severe dry cough,Cough,PCP
i have pain like needles in my joints.,Joint pain,PCP
I feel like l fell in hot water,Skin issue,Pharmacy
"Every time I make an effort, I felt dizzy.",Feeling dizzy,PCP
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,Pharmacy
My body feels like it's in a refrigerator.,Feeling cold,Pharmacy
I always feel like I have menstrual pains even if I don't have my period.,Internal pain,PCP
I have difficulty in breathing in crowded places.,Hard to breath,Emergencey
The severe pain in the stomach I feel,Stomach ache,PCP
I feel a sharp pain in my head when I think too hard.,Head ache,PCP
I have a foot ache although I don't walk a lot.,Foot ache,PCP
chronic disease of hair follicles and sebaceous glands.,Acne,Pharmacy
I don't have problems taking in breath but out breath is so heavy,Hard to breath,Emergencey
I can't walk because i have a great foot ache,Foot ache,PCP
I have internal pain whenever I come down with a cold.,Internal pain,PCP
My knee hurts when I walk,Knee pain,PCP
My knee is hurting so badly.,Joint pain,PCP
i can't ride my car at night because i have blurry vision.,Blurry vision,PCP
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,PCP
I can't stop coughing,Cough,PCP
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache,PCP
Mr hair is falling out just by combing it.,Hair falling out,Pharmacy
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I feel dizzy whenever I stand up.,Feeling dizzy,PCP
I can`t stop coughing.,Cough,PCP
I'm feeling nauseous,Stomach ache,PCP
"when i get up, i feel dizzy and fall down.",Feeling dizzy,PCP
i feel pain in my body,Internal pain,PCP
The acne was causing me to feel embarrassed.,Acne,Pharmacy
"I am always cold, even when I am wearing layers",Feeling cold,Pharmacy
I feel pain in my head with a vertigo,Head ache,PCP
when i was washing my hair it was falling out heavily,Hair falling out,Pharmacy
My infected wound caused a fever,Infected wound,PCP
My head hurts when I'm doing this.,Head ache,PCP
There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain,PCP
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,PCP
My ear ache when I'm listening to music.,Ear ache,PCP
i'm injured i can't play sports,Injury from sports,Emergencey
I have a foot ache although I don't walk a lot.,Foot ache,PCP
I feel shoulder pain at intervals of time.,Shoulder pain,PCP
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,PCP
i feel pain in my body,Internal pain,PCP
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold,Pharmacy
When i eat i feel my stomach hurts,Stomach ache,PCP
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath,Emergencey
I can't see the sign I have a blurry vision,Blurry vision,PCP
My muscle in my shoulder burns when I move my arm.,Muscle pain,PCP
I have a feeling like my whole body is complaining,Joint pain,PCP
I think my body temperature is very low.,Feeling cold,Pharmacy
i have a pain in my trapes,Muscle pain,PCP
My upper back has been sore for a week.,Back pain,PCP
My knees ache on cold and rainy days.,Knee pain,PCP
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain,PCP
What's the symptoms of appendicitis?,Internal pain,PCP
It itches inside my ears.,Ear ache,PCP
There is a tingling sensation in my neck.,Neck pain,PCP
I think there's fluid in my ears.,Ear ache,PCP
I can't turn my neck to the left without feeling a stabbing pain,Neck pain,PCP
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne,Pharmacy
When i'm doing sport I have pain under my skin,Muscle pain,PCP
"When I walk up a flight of stairs, my right knee hurts.",Knee pain,PCP
When i'm driving my eyes see in double,Blurry vision,PCP
I have shooting pains up and down my back.,Back pain,PCP
I have the impression of having no strength in my body,Body feels weak,PCP
How do you know if you have a torn meniscus in your knee?,Knee pain,PCP
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache,PCP
I have pain in my chest that saddens me.,Heart hurts,Emergencey
In the morning my respiration is loud.,Hard to breath,Emergencey
I have a cut that is red and swollen.,Infected wound,PCP
I've got a hard time to breath- am I having a heart attack?,Hard to breath,Emergencey
"Even if the temperature is high in the house,  my body is always cold",Feeling cold,Pharmacy
My shoulder hurts when I try to reach something above my head.,Shoulder pain,PCP
I have shooting pains up and down my back.,Back pain,PCP
My head hurts whenever I try to do something.,Head ache,PCP
The pain feels like it's right below the skin,Muscle pain,PCP
My knee hurts when I walk,Knee pain,PCP
There is this pain that radiates from my chest up to my left arm.,Heart hurts,Emergencey
I get clusters of whiteheads and blackheads on my back.,Acne,Pharmacy
discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.,Internal pain,PCP
I have tried to make massage on my foot but they still pain me,Foot ache,PCP
I have a foot ache although I don't walk a lot.,Foot ache,PCP
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain,PCP
When i eat i feel my stomach hurts,Stomach ache,PCP
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache,PCP
I feel shoulder pain at intervals of time.,Shoulder pain,PCP
"My hair is falling without a reason, I can see a lot of hair on my working desk.",Hair falling out,Pharmacy
"can't do any exercise, i feel weak",Body feels weak,PCP
I have throbing in my shoulder,Shoulder pain,PCP
Hearing any loud sounds makes my ear aches,Ear ache,PCP
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,PCP
I had a pain in my knee when I was swimming,Knee pain,PCP
I can't do anything I feel a weak in my body,Body feels weak,PCP
Every time I look to left I feel a sharp pain in my neck.,Neck pain,PCP
There are some pimples on my face that bother me a lot,Acne,Pharmacy
When I wake up in the morning I feel a soreness in my body,Muscle pain,PCP
I have pain in my stomach,Stomach ache,PCP
"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache,PCP
My wound opened up again,Open wound,Emergencey
I was very active in sports but now my body is feeling pain.,Injury from sports,Emergencey
I feel pain in my back,Back pain,PCP
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,PCP
I feel strong pain in my knee after it was hit during the football match.,Injury from sports,Emergencey
I have a dull ache in  my lower back which makes it difficult to move,Back pain,PCP
There is a sharp pain in my bicep,Muscle pain,PCP
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound,PCP
There's swelling in my neck and it hurts.,Neck pain,PCP
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy,PCP
When I go to sleep I am feeling cold,Feeling cold,Pharmacy
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound,PCP
"I am worried how cold intolerant I am, I am always shivering, even out in the sun.",Feeling cold,Pharmacy
I stopped sports because I get Injury from sports,Injury from sports,Emergencey
My shoulder hurts when I try to reach something above my head.,Shoulder pain,PCP
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,Emergencey
All of a sudden I felt dizzy when I stood up.,Feeling dizzy,PCP
i have a problem in my back i cannot extend it,Back pain,PCP
My sore isn't healing well and it's been like this for two weeks.,Open wound,Emergencey
I have dark spots on my skin,Skin issue,Pharmacy
My head hurts in the back and the pain lasts all day.,Head ache,PCP
I feel pain in my ears with tinnitus,Ear ache,PCP
I have a sharp pain in my lower stomach.,Stomach ache,PCP
My sore looks like its not healing well.,Infected wound,PCP
i have a problem in seeing objects it is too difficult to see,Blurry vision,PCP
The crushing sensation on my heart leaves me breathless.,Heart hurts,Emergencey
severe pain in the upper left side of chest and may have pain to back,Heart hurts,Emergencey
I feel joint pain every time I move,Joint pain,PCP
Every time I comb my hair there are so many hair in my comb.,Hair falling out,Pharmacy
I felt my heart hurts when I ran for along distance,Heart hurts,Emergencey
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain,PCP
I have a throbbing in my joints,Joint pain,PCP
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain,PCP
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,PCP
"i can't move my leg, there is pain in the joint",Joint pain,PCP
I feel congestion in my chest,Cough,PCP
Sometimes I cough because I'm a smoker,Cough,PCP
My shower drain is full of hair every time.,Hair falling out,Pharmacy
My skin is itching.,Skin issue,Pharmacy
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,PCP
I'm not good i feel dizzy,Feeling dizzy,PCP
I feel depressed when I see my hair falling out,Hair falling out,Pharmacy
I get terrible headaches every few months and when I get them my vision is affected.,Head ache,PCP
I fell a stiffness in my elbows and shoulders,Joint pain,PCP
I have a pain in my joint,Joint pain,PCP
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain,PCP
I have a hair shortage,Hair falling out,Pharmacy
I have acne all over my face,Acne,Pharmacy
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath,Emergencey
Have severe cold and cough,Cough,PCP
My kee is swallowing which indicates i have an infected wound,Infected wound,PCP
Everything looks like beeing in a smoky area.,Blurry vision,PCP
I feel like the world goes round and round,Feeling dizzy,PCP
My back hurts a lot when I bend,Back pain,PCP
I feel sad like hurt or pain,Emotional pain,PCP
I always feel like I have menstrual pains even if I don't have my period.,Internal pain,PCP
I feel a great pain in my shoulder joint and it does not go away,Joint pain,PCP
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache,PCP
I feel a great amount of pressure on the sides of my neck,Shoulder pain,PCP
I feel aching on my insides.,Internal pain,PCP
I feel like something is squeezing my lungs.,Hard to breath,Emergencey
My chest hurts when I go to take a breath,Hard to breath,Emergencey
i hit the ground when trying to shoot a basketball,Injury from sports,Emergencey
The joints in my fingers are painful in the morning.,Joint pain,PCP
i feel sad,Emotional pain,PCP
"my child has cough all night, she can't sleep",Cough,PCP
I feel like I've always got something in my throat,Cough,PCP
"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back.",Injury from sports,Emergencey
I feel emotionally crushed,Emotional pain,PCP
I get big patches of irritated pimples on my back and they hurt.,Acne,Pharmacy
Sometimes my body feels week without reason,Body feels weak,PCP
My neck has been sore since the accident.,Neck pain,PCP
I think I sprained my ankle it really hurts.,Injury from sports,Emergencey
I have some pain when i'm walking around my knees,Joint pain,PCP
I get chills and aches all over.,Feeling cold,Pharmacy
My skin is very dry and peeling.,Skin issue,Pharmacy
In the morning my respiration is loud.,Hard to breath,Emergencey
I was very active in sports but now my body is feeling pain.,Injury from sports,Emergencey
My hair is falling out in bunches.,Hair falling out,Pharmacy
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache,PCP
I think there's fluid in my ears.,Ear ache,PCP
When I get out of bed in the morning my body feels very weak.,Body feels weak,PCP
Since I went into the forest  I have pain on my ear,Ear ache,PCP
It itches inside my ears.,Ear ache,PCP
When i'm driving my eyes see in double,Blurry vision,PCP
When I play sports  I have some burning sensation in my spine,Back pain,PCP
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain,PCP
is my cut infected or just healing?,Infected wound,PCP
My head hurts in the back and the pain lasts all day.,Head ache,PCP
I have shooting pains up and down my back.,Back pain,PCP
I've been over my cold for weeks but still cough every day.,Cough,PCP
My shoulder hurts when I try to reach something above my head.,Shoulder pain,PCP
I can't turn my neck to the left without feeling a stabbing pain,Neck pain,PCP
My knees seem to grind as I go up or down stairs.,Knee pain,PCP
I have pain in my chest that saddens me.,Heart hurts,Emergencey
I feel really sad all the time.,Emotional pain,PCP
My arm hurts when I stretch,Muscle pain,PCP
I feel pain in my heart when I wake up,Heart hurts,Emergencey
I don't have full range of motion with my arms,Shoulder pain,PCP
I have throbing in my shoulder,Shoulder pain,PCP
I can't stand up or sit down I have a pain in my back that annoys me,Back pain,PCP
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache,PCP
"When I move on my shoulder, pain shoots down my arm",Shoulder pain,PCP
I get a knee pain when I walk a lot,Knee pain,PCP
I feel something hurt me in taking breath and I cant take my breath,Hard to breath,Emergencey
I feel pain when i think of her,Emotional pain,PCP
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath,Emergencey
Yesterday I had a shouder pain,Shoulder pain,PCP
When I wake up I am feeling cold,Feeling cold,Pharmacy
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain,PCP
